"id","town","county"
"127","Waun Fawr","Cardiganshire/Ceredigion"
"128","Waunfawr","Gwynedd/Gwynedd"
"129","Waungilwen","Carmarthenshire/Sir Gaerfyrddin"
"130","Westmarsh","Kent"
"131","West Marsh","Lincolnshire"
"132","West Markham","Nottinghamshire"
"133","West Marina","East Sussex"
"134","West Marden","West Sussex"
"135","Waulkmill","Dumfries and Galloway"
"136","Waulkmill","Angus"
"137","Wattsville","Caerphilly/Caerffili"
"138","Wattstown","Rhondda"
"139","Wattston","Lanarkshire"
"140","Watton's Green","Essex"
"141","Watton Green","Norfolk"
"142","Watton at Stone","Hertfordshire"
"143","Watton","North Yorkshire"
"144","Watton","Norfolk"
"145","Watton","Dorset"
"146","Wattlesborough Heath","Shropshire"
"147","Wattlefield","Norfolk"
"148","Wattisham","Suffolk"
"149","Wattisham Stone","Suffolk"
"150","Wattisfield","Suffolk"
"151","Watternish","Highland"
"152","Watten","Highland"
"153","Wats Ness","Shetland Isles"
"154","Watlington","Norfolk"
"155","Watnall","Nottinghamshire"
"156","Watlington","Oxfordshire"
"157","Watley's End","Gloucestershire"
"158","Watledge","Gloucestershire"
"159","Wath Upon Dearne","South Yorkshire"
"160","Waterton","Aberdeenshire"
"161","Water Yeat","Cumbria"
"162","Watford","Northamptonshire"
"163","Watford","Hertfordshire"
"164","Watford Gap","West Midlands"
"165","Watford Heath","Hertfordshire"
"166","Watford Park","Caerphilly/Caerffili"
"167","Wath","North Yorkshire"
"168","Wath","Cumbria"
"169","Wath","North Yorkshire"
"170","Wath Brow","Cumbria"
"171","Watherston","Scottish Borders"
"172","Waterton","Glamorgan/Morgannwg"
"173","Waterthorpe","South Yorkshire"
"174","Waters Upton","Shropshire"
"175","Water Stratford","Buckinghamshire"
"176","Waterston","Pembrokeshire/Sir Benfro"
"177","Waterstock","Oxfordshire"
"178","Waterstein","Highland"
"179","Water's Nook","Lancashire"
"180","Waterslack","Lancashire"
"181","Waterside","Renfrewshire"
"182","Waterside","Dunbartonshire"
"183","Waterside","Shropshire"
"184","Waterside","Derbyshire"
"185","Waterside","South Yorkshire"
"186","Waterside","Lancashire"
"187","Waterside","Cumbria"
"188","Waterside","Ayrshire"
"189","Waterside","Surrey"
"190","Waterside","Buckinghamshire"
"191","Watersfield","West Sussex"
"192","Watersheddings","Lancashire"
"193","Waterperry","Oxfordshire"
"194","Waterrow","Somerset"
"195","Water Orton","Warwickshire"
"196","Water of Unich","Angus"
"197","Water of Tulla","Argyll and Bute"
"198","Water of Saughs","Angus"
"199","Water of Ruchill","Perth and Kinross"
"200","Water of Philorth","Aberdeenshire"
"201","Water of Nevis","Highland"
"202","Water of Leith","West Lothian"
"203","Water of Luce","Dumfries and Galloway"
"204","Water of Mark","Angus"
"205","Water of Minnoch","Ayrshire"
"206","Water of Minnoch","Dumfries and Galloway"
"207","Water of Ken","Dumfries and Galloway"
"208","Water of Girvan","Ayrshire"
"209","Water of Feugh","Aberdeenshire"
"210","Water of Fleet","Dumfries and Galloway"
"211","Water of Fail","Ayrshire"
"212","Water of Dye","Aberdeenshire"
"213","Water of Deugh","Dumfries and Galloway"
"214","Water of Cruden","Aberdeenshire"
"215","Water of Chon","Stirling"
"216","Water of Buchat","Aberdeenshire"
"217","Water of Aven","Aberdeenshire"
"218","Water of Ailnack","Moray"
"219","Water of Ailnach","Moray"
"220","Water of Ae","Dumfries and Galloway"
"221","Water Newton","Cambridgeshire"
"222","Watermoor","Gloucestershire"
"223","Watermillock","Cumbria"
"224","Watermead","Gloucestershire"
"225","Watermill","East Sussex"
"226","Waterman Quarter","Kent"
"227","Waterlooville","Hampshire"
"228","Waterloo Port","Gwynedd/Gwynedd"
"229","Waterloo Park","Merseyside"
"230","Waterloo","Highland"
"231","Waterloo","Lanarkshire"
"232","Waterloo","Perth and Kinross"
"233","Waterloo","Shropshire"
"234","Waterloo","Norfolk"
"235","Waterloo","Manchester"
"236","Waterloo","Derbyshire"
"237","Waterloo","Merseyside"
"238","Waterloo","Lancashire"
"239","Waterloo","Norfolk"
"240","Waterloo","Pembrokeshire/Sir Benfro"
"241","Waterloo","Norfolk"
"242","Waterloo","Dorset"
"243","Waterloo","Cornwall"
"244","Waterlip","Somerset"
"245","Wateringbury","Kent"
"246","Waterlane","Gloucestershire"
"247","Waterhouses","Staffordshire"
"248","Water Houses","North Yorkshire"
"249","Waterhouses","Durham"
"250","Waterheads","Scottish Borders"
"251","Waterheath","Norfolk"
"252","Waterhead","Cumbria"
"253","Waterhay","Wiltshire"
"254","Waterhead","Devon"
"255","Waterham","Kent"
"256","Watergore","Somerset"
"257","Waterhales","Essex"
"258","Watergate","Cornwall"
"259","Water Garth Nook","Cumbria"
"260","Water Fryston","West Yorkshire"
"261","Waterford","Hampshire"
"262","Waterford","Hertfordshire"
"263","Waterfoot","Renfrewshire"
"264","Waterfoot","Lancashire"
"265","Waterfoot","Argyll and Bute"
"266","Waterfoot","Cumbria"
"267","Waterfall","Staffordshire"
"268","Water End","North Yorkshire"
"269","Waterend","Cumbria"
"270","Water End","Hampshire"
"271","Waterend","Buckinghamshire"
"272","Water End","Hertfordshire"
"273","Waterend","Hertfordshire"
"274","Waterend","Gloucestershire"
"275","Water End","Bedfordshire"
"276","Water End","Essex"
"277","Water End","Bedfordshire"
"278","Water Eaton","Oxfordshire"
"279","Waterditch","Dorset"
"280","Water Eaton","Buckinghamshire"
"281","Waterdale","Hertfordshire"
"282","Waterbeck","Dumfries and Galloway"
"283","Waterbeach","West Sussex"
"284","Waterbeach","Cambridgeshire"
"285","Water","Lancashire"
"286","Watendlath","Cumbria"
"287","Water","Devon"
"288","Watcombe","Devon"
"289","Watch House Green","Essex"
"290","Watchill","Dumfries and Galloway"
"291","Watchhill","Cumbria"
"292","Watchgate","Cumbria"
"293","Watchfield","Oxfordshire"
"294","Watchet","Somerset"
"295","Watchfield","Somerset"
"296","Watchcombe","Devon"
"297","Wast Water","Cumbria"
"298","Wastor","Devon"
"299","Waste Green","Warwickshire"
"300","Wasps Nest","Lincolnshire"
"301","Wass","North Yorkshire"
"302","Wasp Green","Surrey"
"303","Wasperton","Warwickshire"
"304","Wasing","Berkshire"
"305","Waskerley","Durham"
"306","Washwood Heath","West Midlands"
"307","Wash Water","Hampshire"
"308","Washpit","West Yorkshire"
"309","Washmere Green","Suffolk"
"310","Washington Village","Durham"
"311","Washington","Durham"
"312","Washington","West Sussex"
"313","Washingley","Cambridgeshire"
"314","Washford Pyne","Devon"
"315","Washingborough","Lincolnshire"
"316","Washford","Warwickshire"
"317","Washford","Somerset"
"318","Washfold","North Yorkshire"
"319","Washerwall","Staffordshire"
"320","Washfield","Devon"
"321","Wash Dyke","Norfolk"
"322","Wash Common","Berkshire"
"323","Washburn","North Yorkshire"
"324","Washbrook","Suffolk"
"325","Washbrook Street","Suffolk"
"326","Washbrook","Somerset"
"327","Washaway","Cornwall"
"328","Washbourne","Devon"
"329","Washall Green","Hertfordshire"
"330","Wash","Derbyshire"
"331","Wasdale Head","Cumbria"
"332","Wasdale Beck","Cumbria"
"333","Wasdale","Cumbria"
"334","Wasbister","Orkney"
"335","Warwicksland","Cumbria"
"336","Warwick Wold","Surrey"
"337","Warwick-on-Eden","Cumbria"
"338","Warwick","Warwickshire"
"339","Warwick Bridge","Cumbria"
"340","Warton","Warwickshire"
"341","Warton Bank","Lancashire"
"342","Warton","Lancashire"
"343","Warton","Northumberland"
"344","Warton","Lancashire"
"345","Warthermarske","North Yorkshire"
"346","Warthill","North Yorkshire"
"347","Wartling","East Sussex"
"348","Wartnaby","Leicestershire"
"349","Warsop Vale","Nottinghamshire"
"350","Warstock","West Midlands"
"351","Warstone","Staffordshire"
"352","Warter","North Yorkshire"
"353","Warslow","Staffordshire"
"354","Warsash","Hampshire"
"355","Warse","Highland"
"356","Warsill","North Yorkshire"
"357","Warriston","Edinburgh"
"358","Warrington","Cheshire"
"359","Warrington","Buckinghamshire"
"360","Warren Street","Kent"
"361","Warren's Green","Hertfordshire"
"362","Warren Row","Berkshire"
"363","Warren Heath","Suffolk"
"364","Warren Corner","Hampshire"
"365","Warrenby","West Yorkshire"
"366","Warren","South Yorkshire"
"367","Warren","Cheshire"
"368","Warren","Pembrokeshire/Sir Benfro"
"369","Warren","Dorset"
"370","Warpsgrove","Oxfordshire"
"371","Warnham","West Sussex"
"372","Warningcamp","West Sussex"
"373","Warninglid","West Sussex"
"374","Warnford","Hampshire"
"375","Warners End","Hertfordshire"
"376","Warndon","Worcestershire"
"377","Warnborough Green","Hampshire"
"378","Warmwell","Dorset"
"379","Warmsworth","South Yorkshire"
"380","Warmonds Hill","Northamptonshire"
"381","Warmley Tower","Gloucestershire"
"382","Warmley Hill","Gloucestershire"
"383","Warmlake","Kent"
"384","Warmley","Gloucestershire"
"385","Warminster","Wiltshire"
"386","Warminster Common","Wiltshire"
"387","Warmington","Warwickshire"
"388","Warmington","Northamptonshire"
"389","Warminghurst","West Sussex"
"390","Warmingham","Cheshire"
"391","Warmfield","West Yorkshire"
"392","Warmbrook","Derbyshire"
"393","Warlingham","Surrey"
"394","Warley Town","Durham"
"395","Warley Woods","West Midlands"
"396","Warley","Essex"
"397","Warleigh","Somerset"
"398","Warleggan","Cornwall"
"399","Warland","Durham"
"400","Warlaby","North Yorkshire"
"401","Warkworth","Northumberland"
"402","Warkworth","Northamptonshire"
"403","Warkleigh","Devon"
"404","Warkton","Northamptonshire"
"405","Wark Common","Northumberland"
"406","Waring's Green","Warwickshire"
"407","Wark","Northumberland"
"408","Warham","Norfolk"
"409","Warhill","Manchester"
"410","Wargrave","Cheshire"
"411","Warham","Norfolk"
"412","Wargrave","Berkshire"
"413","Wargate","Lincolnshire"
"414","Waresley","Cambridgeshire"
"415","Ware Street","Kent"
"416","Warfield","Berkshire"
"417","Warfleet","Devon"
"418","Waresley","Worcestershire"
"419","Wareside","Hertfordshire"
"420","Waren Mill","Northumberland"
"421","Warenford","Northumberland"
"422","Ware","Kent"
"423","Wareham","Dorset"
"424","Wareham Forest","Dorset"
"425","Warehorne","Kent"
"426","Waren Burn","Northumberland"
"427","Ware","Hertfordshire"
"428","Wardy Hill","Cambridgeshire"
"429","Ware","Devon"
"430","Wardsend","Cheshire"
"431","Wardrobes","Buckinghamshire"
"432","Wardpark","Lanarkshire"
"433","Wardour","Wiltshire"
"434","Wardlow","Derbyshire"
"435","Wardley","Durham"
"436","Wardley","Manchester"
"437","Wardley","Rutland"
"438","Wardley","West Sussex"
"439","Wardle Bank","Cheshire"
"440","Wardle","Lancashire"
"441","Wardle","Cheshire"
"442","Wardlaw","Scottish Borders"
"443","Wardington","Oxfordshire"
"444","Wardhill","Orkney"
"445","Ward Green Cross","Lancashire"
"446","Wardhedges","Bedfordshire"
"447","Ward Green","South Yorkshire"
"448","Warden Point","Isle of Wight"
"449","Warden Street","Bedfordshire"
"450","Ward Green","Suffolk"
"451","Warden Hill","Gloucestershire"
"452","Ward End","West Midlands"
"453","Warden","Powys/Powys"
"454","Warden","Kent"
"455","Warden","Northumberland"
"456","Warcop","Cumbria"
"457","Warburton Green","Cheshire"
"458","Warburton","Manchester"
"459","Warboys","Cambridgeshire"
"460","Warbreck","Lancashire"
"461","Warbstow","Cornwall"
"462","Warbstow Cross","Cornwall"
"463","Warblington","Hampshire"
"464","Warborough","Oxfordshire"
"465","Warbleton","East Sussex"
"466","Wapping","London"
"467","Wappenham","Northamptonshire"
"468","Wapley","Gloucestershire"
"469","Wappenbury","Warwickshire"
"470","Wantage","Oxfordshire"
"471","Wants Green","Worcestershire"
"472","Wanswell","Gloucestershire"
"473","Wanson","Cornwall"
"474","Wanstead","London"
"475","Wanstrow","Somerset"
"476","Wanshurst Green","Kent"
"477","Wansford","North Yorkshire"
"478","Wansford","Northamptonshire"
"479","Wannock","East Sussex"
"480","Wansbeck","Northumberland"
"481","Wanlockhead","Dumfries and Galloway"
"482","Wangford","Suffolk"
"483","Wanlip","Leicestershire"
"484","Wandsworth","London"
"485","Wandon End","Bedfordshire"
"486","Wandel Dyke","Lanarkshire"
"487","Wandle Park","London"
"488","Wanborough","Surrey"
"489","Wanborough","Wiltshire"
"490","Wampoo","Cumbria"
"491","Wampool","Cumbria"
"492","Wamphray Water","Dumfries and Galloway"
"493","Wambrook","Somerset"
"494","Walworth Gate","Durham"
"495","Walwyn's Castle","Pembrokeshire/Sir Benfro"
"496","Walworth","London"
"497","Walworth","Durham"
"498","Walwen","Flintshire/Sir Fflint"
"499","Walwick","Northumberland"
"500","Walton West","Pembrokeshire/Sir Benfro"
"501","Walton Warren","Norfolk"
"502","Walton Pool","Worcestershire"
"503","Walton St Mary","Somerset"
"504","Walton Summit","Lancashire"
"505","Walton-on-Trent","Staffordshire"
"506","Walton on the Wolds","Leicestershire"
"507","Walton-On-The-Naze","Essex"
"508","Walton-on-the-Hill","Staffordshire"
"509","Walton on the Hill","Surrey"
"510","Walton Manor","Oxfordshire"
"511","Walton-on-Thames","Surrey"
"512","West Meon","Hampshire"
"513","West Melton","South Yorkshire"
"514","West Melbury","Dorset"
"515","West Meadow Brook","Leicestershire"
"516","West Marton","North Yorkshire"
"517","Walton-le-Dale","Lancashire"
"518","Walton Highway","Norfolk"
"519","Walton-in-Gordano","Somerset"
"520","Walton Grounds","Northamptonshire"
"521","Walton Heath","Hampshire"
"522","West Meon Woodlands","Hampshire"
"523","Walton Elm","Dorset"
"524","Walton East","Pembrokeshire/Sir Benfro"
"525","Walton Court","Buckinghamshire"
"526","Walton Cardiff","Gloucestershire"
"527","Walton","Staffordshire"
"528","Walton","Cambridgeshire"
"529","Walton","Shropshire"
"530","Walton","Staffordshire"
"531","Walton","Derbyshire"
"532","Walton","West Yorkshire"
"533","Walton","Lancashire"
"534","Walton","Buckinghamshire"
"535","Walton","Cumbria"
"536","Walton","Powys/Powys"
"537","Walton","Warwickshire"
"538","Walton","Suffolk"
"539","Walton","Buckinghamshire"
"540","Walton","Shropshire"
"541","Walton","Leicestershire"
"542","Walthamstow","London"
"543","Walton","Somerset"
"544","Waltham St Lawrence","Berkshire"
"545","Waltham on the Wolds","Leicestershire"
"546","Waltham's Cross","Essex"
"547","Waltham Cross","London"
"548","Waltham Chase","Hampshire"
"549","Waltham Abbey","Essex"
"550","Waltham","Kent"
"551","Waltham","Lincolnshire"
"552","Walterstone","Herefordshire"
"553","Walterston","Glamorgan/Morgannwg"
"554","Walter's Green","East Sussex"
"555","Walsworth","Hertfordshire"
"556","Walter's Ash","Buckinghamshire"
"557","Walston","Lanarkshire"
"558","Walson","Monmouthshire/Sir Fynwy"
"559","Walsoken","Cambridgeshire"
"560","Walshford","North Yorkshire"
"561","Walshes, The","Worcestershire"
"562","Walshaw","Lancashire"
"563","Walsham Le Willows","Suffolk"
"564","Walsall","Staffordshire"
"565","Walsall Wood","Staffordshire"
"566","Walsden","Durham"
"567","Walsgrave on Sowe","West Midlands"
"568","Walsal End","West Midlands"
"569","Walpole St Peter","Norfolk"
"570","Walrow","Somerset"
"571","Walpole St Andrew","Norfolk"
"572","Walpole Marsh","Norfolk"
"573","Walpole Highway","Norfolk"
"574","Walpole Cross Keys","Norfolk"
"575","Walpole","Somerset"
"576","Walpole","Suffolk"
"577","Walnuttree Green","Hertfordshire"
"578","Walnut Tree","Buckinghamshire"
"579","Walnut Grove","Perth and Kinross"
"580","Walney Island","Cumbria"
"581","Walmsgate","Lincolnshire"
"582","Walmley","West Midlands"
"583","Walmgate Stray","North Yorkshire"
"584","Walmer Bridge","Lancashire"
"585","Walmersley","Lancashire"
"586","Walmer","Kent"
"587","Wallyford","East Lothian"
"588","Wallsuches","Lancashire"
"589","Wallsworth","Gloucestershire"
"590","Wall under Heywood","Shropshire"
"591","Wallston","Glamorgan/Morgannwg"
"592","Wallsend","Tyne and Wear"
"593","Walls","Shetland Isles"
"594","Wallridge","Northumberland"
"595","Wallow Green","Gloucestershire"
"596","Walliswood","Surrey"
"597","Wall Mead","Somerset"
"598","Wall Nook","Durham"
"599","Wallisdown","Dorset"
"600","Wallingwells","Nottinghamshire"
"601","Wallington Heath","Staffordshire"
"602","Wallington","Hertfordshire"
"603","Wallington","London"
"604","Wallington","Hampshire"
"605","Wallingford","Oxfordshire"
"606","Wall Heath","Staffordshire"
"607","Wall Hill","Lancashire"
"608","Waller's Haven","East Sussex"
"609","Walley's Green","Cheshire"
"610","Waller's Green","Herefordshire"
"611","Wallend","Northumberland"
"612","Wall End","Kent"
"613","Wall End","Cumbria"
"614","Wallbrook","West Midlands"
"615","Wallcrouch","East Sussex"
"616","Wall Bank","Shropshire"
"617","Wallbank","Lancashire"
"618","Wallasey","Merseyside"
"619","Wallasea Island","Essex"
"620","Wallands Park","East Sussex"
"621","Wallacetown","Ayrshire"
"622","Wallaceton","Dumfries and Galloway"
"623","Wallacestone","Stirling"
"624","Wall","Northumberland"
"625","Wall","Staffordshire"
"626","Wall","Cornwall"
"627","Walk Mill","Lancashire"
"628","Walkmills","Shropshire"
"629","Walkmill","Shropshire"
"630","Walkley","South Yorkshire"
"631","Walkerville","North Yorkshire"
"632","Walkford","Dorset"
"633","Walkhampton","Devon"
"634","Walkington","North Yorkshire"
"635","Walker's Green","Herefordshire"
"636","Walker's Heath","West Midlands"
"637","Walkern","Hertfordshire"
"638","Walkerith","Nottinghamshire"
"639","Walkeringham","Nottinghamshire"
"640","Walkerburn","Scottish Borders"
"641","Walker Fold","Lancashire"
"642","Walkden","Manchester"
"643","Walker","Tyne and Wear"
"644","Walker Barn","Cheshire"
"645","Walhampton","Hampshire"
"646","Walham","Gloucestershire"
"647","Walham Green","London"
"648","Walgherton","Cheshire"
"649","Walgrave","Northamptonshire"
"650","Walford Heath","Shropshire"
"651","Walford","Shropshire"
"652","Walford","Staffordshire"
"653","Walford","Herefordshire"
"654","Walford","Somerset"
"655","Waleswood","South Yorkshire"
"656","Wales End","Suffolk"
"657","Walesby","Nottinghamshire"
"658","Walesby Grange","Lincolnshire"
"659","Wales Bar","South Yorkshire"
"660","Walesby","Lincolnshire"
"661","Wales","South Yorkshire"
"662","Wales","Somerset"
"663","Waldron Down","East Sussex"
"664","Waldron","East Sussex"
"665","Waldringfield Heath","Suffolk"
"666","Waldridge","Durham"
"667","Waldringfield","Suffolk"
"668","Waldon","Devon"
"669","Walditch","Dorset"
"670","Waldley","Derbyshire"
"671","Walderslade","Kent"
"672","Walderton","West Sussex"
"673","Waldershaigh","South Yorkshire"
"674","Walden Stubbs","South Yorkshire"
"675","Walden","North Yorkshire"
"676","Walden Beck","North Yorkshire"
"677","Walcott","Norfolk"
"678","Walcott","Lincolnshire"
"679","Walcot Green","Norfolk"
"680","Walcote","Warwickshire"
"681","Walcot","Shropshire"
"682","Walcote","Leicestershire"
"683","Walcot","Lincolnshire"
"684","Walcot","Somerset"
"685","Walcot","Oxfordshire"
"686","Walcot","Wiltshire"
"687","Walberswick","Suffolk"
"688","Walberton","West Sussex"
"689","Walbottle","Tyne and Wear"
"690","Walby","Cumbria"
"691","Walcombe","Somerset"
"692","Walcot","Shropshire"
"693","Wakes Colne","Essex"
"694","Wakes Colne Green","Essex"
"695","Wakerley","Northamptonshire"
"696","Wakeley","Hertfordshire"
"697","Wake Hill","North Yorkshire"
"698","Wakefield","West Yorkshire"
"699","Wake Green","West Midlands"
"700","Waithe Beck","Lincolnshire"
"701","Waitby","Cumbria"
"702","Waithe","Lincolnshire"
"703","Wainstalls","Durham"
"704","Wainscott","Kent"
"705","Wain Lee","Staffordshire"
"706","Wainhouse Corner","Cornwall"
"707","Wainford","Norfolk"
"708","Waingroves","Derbyshire"
"709","Wainfleet Tofts","Lincolnshire"
"710","Wainfleet St Mary","Lincolnshire"
"711","Wainfleet Bank","Lincolnshire"
"712","Wainfleet All Saints","Lincolnshire"
"713","Waggs Plot","Devon"
"714","Wainfelin","Torfaen"
"715","Waggersley","Staffordshire"
"716","Wagg","Somerset"
"717","Waen-wen","Gwynedd/Gwynedd"
"718","Wagbeach","Shropshire"
"719","Waen-pentir","Gwynedd/Gwynedd"
"720","Waen-fach","Powys/Powys"
"721","Waen Aberwheeler","Denbighshire/Sir Ddinbych"
"722","Waen","Denbighshire/Sir Ddinbych"
"723","Waen","Powys/Powys"
"724","Waen","Flintshire/Sir Fflint"
"725","Wadworth","South Yorkshire"
"726","Wadwick","Hampshire"
"727","Wadswick","Wiltshire"
"728","Wadsley","South Yorkshire"
"729","Wadsley Bridge","South Yorkshire"
"730","Wadshelf","Derbyshire"
"731","Wadhurst","East Sussex"
"732","Wades Green","Cheshire"
"733","Wadesmill","Hertfordshire"
"734","Wadenhoe","Northamptonshire"
"735","Wade Hall","Lancashire"
"736","Wadebridge","Cornwall"
"737","Wadeford","Somerset"
"738","Waddon","London"
"739","Waddingworth","Lincolnshire"
"740","Waddon","Devon"
"741","Waddington","Lincolnshire"
"742","Waddington","Lancashire"
"743","Waddicombe","Devon"
"744","Waddingham","Lincolnshire"
"745","Waddicar","Merseyside"
"746","Waddesdon","Buckinghamshire"
"747","Waddeton","Devon"
"748","Wadbrook","Devon"
"749","Wadborough","Worcestershire"
"750","Wadbister","Shetland Isles"
"751","Wacton","Norfolk"
"752","Wacton Common","Norfolk"
"753","Wacton","Norfolk"
"754","Vulcan Village","Cheshire"
"755","Wackerfield","Durham"
"756","Vuia Mor","Western Isles"
"757","Vuia Beag","Western Isles"
"758","Vron Gate","Shropshire"
"759","Voxmoor","Somerset"
"760","Voy","Orkney"
"761","Vowchurch Common","Herefordshire"
"762","Vowchurch","Herefordshire"
"763","Vorogay","Western Isles"
"764","Voe","Shetland Isles"
"765","Voesgarth","Shetland Isles"
"766","Vogue","Cornwall"
"767","Vole","Somerset"
"768","Vobster","Somerset"
"769","Viscar","Cornwall"
"770","Virginstow","Devon"
"771","Virley","Essex"
"772","Virginia Water","Surrey"
"773","Vinney Green","Gloucestershire"
"774","Viney Hill","Gloucestershire"
"775","Vines Cross","East Sussex"
"776","Vinehall Street","East Sussex"
"777","Vinegar Hill","Monmouthshire/Sir Fynwy"
"778","Village, The","Berkshire"
"779","Viewpark","Lanarkshire"
"780","Vigo","Staffordshire"
"781","Vigo Village","Kent"
"782","Vidlin","Shetland Isles"
"783","Victory Gardens","Renfrewshire"
"784","Victoria Park","Buckinghamshire"
"785","Victoria","West Yorkshire"
"786","Vickerstown","Cumbria"
"787","Victoria","Cornwall"
"788","Vicarscross","Cheshire"
"789","Vicarage","Devon"
"790","Veryan Green","Cornwall"
"791","Verwood","Dorset"
"792","Veryan","Cornwall"
"793","Verran Island","Western Isles"
"794","Vernham Street","Hampshire"
"795","Vernolds Common","Shropshire"
"796","Vernham Row","Wiltshire"
"797","Vernham Dean","Hampshire"
"798","Vernham Bank","Wiltshire"
"799","Vernatt's Drain","Lincolnshire"
"800","Vermuden's Drain (Forty Foot)","Cambridgeshire"
"801","Veraby","Devon"
"802","Ver","Hertfordshire"
"803","Venus Hill","Hertfordshire"
"804","Venton","Devon"
"805","Ventongimps","Cornwall"
"806","Ventonleague","Cornwall"
"807","Ventnor","Isle of Wight"
"808","Venterdon","Cornwall"
"809","Vention","Devon"
"810","Venny Tedburn","Devon"
"811","Venn's Green","Herefordshire"
"812","Venn Ottery","Devon"
"813","Vennington","Shropshire"
"814","Venngreen","Devon"
"815","Venn","Devon"
"816","Vementry","Shetland Isles"
"817","Veness","Orkney"
"818","Velly","Devon"
"819","Vellow","Somerset"
"820","Velindre","Powys/Powys"
"821","Vellanoweth","Cornwall"
"822","Veldo","Herefordshire"
